OBJECTID,* Damage,* Street Number,* Street Name,"* Street Type (e.g. road, drive, lane, etc.)",* City,State,Zip Code,* CAL FIRE Unit,County,Community,Incident Start Date,Hazard Type,Structure Defense Actions Taken,* Structure Type,Structure Category,# Units in Structure (if multi unit),* Roof Construction,* Eaves,* Vent Screen,* Exterior Siding,* Window Pane,* Deck/Porch On Grade,* Deck/Porch Elevated,* Patio Cover/Carport Attached to Structure,* Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure &gt; 120 SQFT,Assessed Improved Value (parcel),Year Built (parcel),Site Address (parcel),Latitude,Longitude
7365,No Damage,0.0,Pine Cone Path,Other,,CA,0.0,MMU,Madera,,9/4/2020 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,0.0,   ,37.4204626867968,-119.367791069728
45353,Destroyed (>50%),5982.0,Hazel ,Way,Paradise Central Southeast A,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Enclosed,No Vents,Ignition Resistant,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,56297.0,1947.0,5982  HAZEL WAY   PARADISE CA 95969,39.7632668741902,-121.590114409847
25470,No Damage,34205.0,130,Route,,CA,,SCU,Santa Clara,,8/18/2020 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,No Eaves,No Vents,Wood,Multi Pane,Wood,No Deck/Porch,No Patio Cover/Carport,No Fence,,,802.0,, ,37.3597458651734,-121.596066987381
80427,Destroyed (>50%),7824.0,Phillips Heights ,Avenue,Twin Bridges,CA,95735.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,1.0,Metal,Unenclosed,"Mesh Screen > 1/8""""",Wood,Single Pane,Wood,Wood,No Patio Cover/Carport,No Fence,21-30,,92808.0,,7824 PHILLIPS HEIGHTS AVE TWIN BRIDGES CA 95735,38.814395093883,-120.079627919999
93871,No Damage,29.0,Black apple ,Way,Chico,CA,95973.0,BTU,Butte,,7/24/2024 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,0.0,Asphalt,Unenclosed,No Vents,Wood,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,218727.0,1977.0,"29 BLACK APPLE WAY, CHICO, CA 95973",39.9342013,-121.7301711
65743,Destroyed (>50%),3824.0,Sedgemoore ,Drive,Santa Rosa,CA,0.0,LNU,Sonoma,Fountaingrove,10/8/2017 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Fire Resistant,Unknown,Screened,Combustible,Multi Pane, , , ,,,,375228.0,,3824 SEDGEMOORE DR SANTA ROSA CA 95404,38.4874174309542,-122.691049601219
81409,No Damage,8737.0,Johnson Pass,Road,Echo Lake,CA,95721.0,AEU,El Dorado,,8/14/2021 12:00:00 AM,Fire,,Utility Misc Structure,Other Minor Structure,0.0,Metal,Enclosed,No Vents,Wood,Unknown,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,,70258.0,,8737 JOHNSON PASS RD ECHO LAKE CA 95721,38.8251888626046,-120.043004480824
87726,No Damage,5791.0,Lake Ridge,Road,Ukiah ,CA,95482.0,MEU,Mendocino,,9/12/2021 12:00:00 AM,Fire,,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Wood,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Combustible,,,259404.0,,5791 LAKE RIDGE RD UKIAH CA 95482,39.2278542079984,-123.187164596953
12564,Destroyed (>50%),3420.0,Silverado ,Trail,,CA,,LNU,Napa,,9/27/2020 12:00:00 AM,Fire,,Single Family Residence Multi Story,Single Residence,,Tile,Unenclosed,Unknown,Wood,Single Pane,Masonry/Concrete,Wood,Combustible,No Fence,,,475274.0,1982.0,3420 SILVERADO TRL N SAINT HELENA CA 94574,38.54116094262,-122.488972895337
40871,Destroyed (>50%),6224.0,Oliver,Road,Paradise Northwest B,CA,,BTU,Butte,Paradise ,11/8/2018 12:00:00 AM,Fire,Unknown,Single Family Residence Single Story,Single Residence,,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Combustible,Single Pane,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,,<30',88171.0,1965.0,6224  OLIVER RD   PARADISE CA 95969,39.7714859801744,-121.625584441841
