OBJECTID,Damage,Zip Code,CAL FIRE Unit,County,Incident Start Date,Structure Defense Actions Taken,Structure Type,Structure Category,Units in Structure,Roof Construction,Eaves,Vent Screen,Exterior Siding,Window Pane,Deck/Porch On Grade,Deck/Porch Elevated,Patio Cover/Carport Attached to Structure,Fence Attached to Structure,Distance - Propane Tank to Structure,Distance - Residence to Utility/Misc Structure > 120 SQFT,Assessed Improved Value,Year Built,Latitude,Longitude,AIV missing,Year Built missing
21215,No Damage,95060.0,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,270082.0,1976.0,37.0432441699837,-122.112906481435,0,0
103835,No Damage,91107.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unenclosed,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,Non Combustible,Unknown,Unknown,147247.0,1952.0,34.17146,-118.0692264,0,0
46129,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Multi Story,Single Residence,1.0,Asphalt,Enclosed,"Mesh Screen <= 1/8""""",Ignition Resistant,Single Pane,Masonry/Concrete,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,63323.0,1948.0,39.7661339572423,-121.606102860632,0,0
48371,Destroyed (>50%),30473.0,LAC,Los Angeles,2018-11-08,Unknown,Mobile Home Single Wide,Single Residence,1.0,Metal,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,712324.5000000002,1968.0,34.1102592764084,-118.7928038582,0,0
47335,Destroyed (>50%),95969.0,BTU,Butte,2018-11-08,Unknown,Mobile Home Double Wide,Single Residence,2.0,Asphalt,Unenclosed,No Vents,Combustible,Single Pane,Wood,No Deck/Porch,Combustible,No Fence,Unknown,<30,6209.0,1966.0,39.7862844356301,-121.580794879254,0,1
105242,Destroyed (>50%),91001.0,LAC,Los Angeles,2025-01-07,Unknown,Single Family Residence Single Story,Single Residence,1.0,Unknown,Unknown,Unknown,Stucco/Brick/Cement,Unknown,Masonry/Concrete,No Deck/Porch,Unknown,Non Combustible,Unknown,Unknown,113211.0,1948.0,34.1989593,-118.1283173,0,0
93989,No Damage,95338.0,MMU,Mariposa,2024-07-04,Unknown,Mobile Home Single Wide,Single Residence,0.0,Metal,Enclosed,No Vents,Metal,Single Pane,Wood,Wood,Non Combustible,Combustible,Unknown,Unknown,50280.0,1966.0,37.4869122,-119.9613871,0,1
88303,No Damage,96003.0,SHU,Shasta,2021-09-22,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Asphalt,Unenclosed,"Mesh Screen <= 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,No Fence,Unknown,Unknown,309968.0,1966.0,40.6846963390695,-122.314955814752,0,1
76741,Destroyed (>50%),96064.0,SKU,Siskiyou,2021-06-24,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,23437.0,1966.0,41.577986193375,-122.316296812622,0,1
90797,No Damage,92677.0,ORC,Orange,2022-05-11,Unknown,Single Family Residence Multi Story,Single Residence,0.0,Tile,No Eaves,"Mesh Screen > 1/8""""",Stucco/Brick/Cement,Multi Pane,Masonry/Concrete,Masonry/Concrete,Non Combustible,Combustible,Unknown,Unknown,442410.0,1989.0,33.5220513,-117.72535141,0,0
97843,No Damage,93544.0,LAC,Los Angeles,2024-09-08,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Asphalt,Unenclosed,No Vents,Wood,No Windows,No Deck/Porch,No Deck/Porch,No Patio Cover/Carport,No Fence,Unknown,Unknown,120926.0,1980.0,34.3598627,-117.652736,0,0
5941,No Damage,44352.0,FKU,Fresno,2020-09-04,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,319649.0,1996.0,37.0600101253294,-119.399522273085,0,0
14713,No Damage,Unknown,LNU,Napa,2020-09-27,Unknown,Utility Misc Structure,Other Minor Structure,0.0,Other,No Eaves,No Vents,Other,Unknown,No Deck/Porch,Wood,No Patio Cover/Carport,No Fence,Unknown,Unknown,0.0,1966.0,38.5495474023779,-122.527768397088,1,1
21673,No Damage,14747.0,CZU,Santa Cruz,2020-08-16,Unknown,Single Family Residence Single Story,Single Residence,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,113470.0,1951.0,37.1366179394733,-122.139932021873,0,0
53828,No Damage,95969.0,BTU,Butte,2018-11-08,Unknown,Single Family Residence Single Story,Single Residence,1.0,Asphalt,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,268872.0,1989.0,39.7509439910179,-121.574875215992,0,0
